id,year,date_start,country,region,conflict_name,dyad_name,side_a,side_b,where_description,latitude,longitude,deaths_a,deaths_b,deaths_civilians,best,type_of_violence,source_headline
624235,2026,2026-03-31,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Kfar– Bint Jbeil district,33.17472,35.35111,0,0,1,1,1,"Ministry of Health: A paramedic was killed, two others were wounded, and 11 civilians were injured as a result of targeting a ""Al-Risala Scouts"" point in Kafra."
625371,2026,2026-03-31,Iran,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",,35.696111,51.423056,1,0,0,3,1,Iran confirms killing of general sanctioned by US over oil network
624462,2026,2026-03-31,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"south of Khan Younis city, in the southern Gaza Strip",31.344444,34.303056,0,0,0,2,1,Two martyrs and injuries in an Israeli raid on Khan Younis
624229,2026,2026-03-31,Syria,Middle East,XXX652 - Civilians,XXX652 - Civilians,XXX652,Civilians,Al-Qardaha,35.45644,36.05909,0,0,1,1,3,Amid conflicting reports | Young man “Aziz Ossama Deeb” killed by transitional government forces at Al-Qardaha hotel checkpoint
624463,2026,2026-03-31,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,town of Jebchit,33.365364,35.432621,0,0,1,2,1,8 martyrs in Israeli raids on Lebanon
624239,2026,2026-03-31,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Abba town,33.36121,35.40056,0,0,0,1,1,A martyr in Abba and raids on villages in Nabatieh
624236,2026,2026-03-31,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Srifa in the Tyre district,33.28145,35.397129,0,0,0,3,1,Ministry of Health: 3 martyrs and 19 wounded as a result of an Israeli raid on the town of Sarifa
625368,2026,2026-03-31,Iran,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",city of Zanjan,36.67642,48.49628,0,0,0,4,1,Deadly US-Israeli strikes damage religious site in Iran: media
624238,2026,2026-03-31,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Deri kifa,33.25769,35.39918,0,0,0,2,1,"Four martyrs as a result of two raids on Deir Kifa and Qasmiya, and other Israeli raids targeted Zawtar al-Gharbiya, al-Qantara and Bint Jbeil"
625370,2026,2026-03-31,Iran,Middle East,Iran: Government,Government of Iran - Jaish al-Adl,Government of Iran,Jaish al-Adl,Mirjaveh County,29.025833,61.456111,1,0,1,2,1,"Iran says officer, civilian killed in attack in restive south-east

CR 

Source: ISNA website, Tehran, in Persian 1222 GMT 31 Mar 26"
