id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
621157,AFG-2026-1-12291-28,2026,true,Check deaths,1,"",11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,1,"""Pajhwok Afghan News,2026-03-03,150 Pakistani soldiers killed in Afghan counterattacks: Khwarazmi""",Pajhwok Afghan News,2026-03-03,150 Pakistani soldiers killed in Afghan counterattacks: Khwarazmi,"Enayatullah Khwarazmi, spokesman for MoD",5,Afghanistan-Pakistan border,"",,,31.689623,68.051427,POINT (68.051427 31.689623),175457,Afghanistan,700,Asia,2,2,2026-02-26 00:00:00.000,2026-03-03 00:00:00.000,2,0,0,0,2,2,2,700,770
621161,AFG-2026-1-12291-30,2026,true,Check geography,1,"",11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,1,"""BBC Monitoring News Alert,2026-03-03,Taliban say dozens of Afghan civilians killed, wounded in Pakistan's attacks
CR 	Source: National Afghanistan TV, Kabul, in Dari and Pashto 0841 GMT 3 Mar 26""",BBC Monitoring News Alert,2026-03-03,"Taliban say dozens of Afghan civilians killed, wounded in Pakistan's attacks
CR 	Source: National Afghanistan TV, Kabul, in Dari and Pashto 0841 GMT 3 Mar 26",Taliban government's deputy spokesman Hamdullah Fitrat,6,Afghanistan,"Nangarhar, Kunar, Paktika, Paktia, Kabul, Khost and Kandahar.",,,33.000000,65.000000,POINT (65 33),177611,Afghanistan,700,Asia,2,2,2026-02-26 00:00:00.000,2026-03-03 00:00:00.000,0,0,30,0,30,30,0,700,770
622824,AFG-2026-1-12291-73,2026,true,Check deaths,1,"",11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,1,"""BBC Monitoring Round-up,2026-03-16,Pakistan media highlights 16 Mar 26
CR 	Source: BBC Monitoring in Urdu 16 Mar 26""",BBC Monitoring Round-up,2026-03-16,"Pakistan media highlights 16 Mar 26
CR 	Source: BBC Monitoring in Urdu 16 Mar 26",Pakistan,6,Afghanistan,"",,,33.000000,65.000000,POINT (65 33),177611,Afghanistan,700,Asia,2,4,2026-02-26 00:00:00.000,2026-03-15 00:00:00.000,0,0,0,0,0,193,0,700,770
621146,AFG-2026-1-12291-24.1,2026,true,Clear,1,"",11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,2,"""Xinhua News Agency,2026-03-02,17 killed, 15 injured in Pakistan military strikes in eastern Afghanistan in 1 day"";""Bakhtar News,2026-03-02,Pakistani soldiers have martyred dozens of innocent people in Kunar.""",Xinhua News Agency;Bakhtar News,2026-03-02;2026-03-02,"17 killed, 15 injured in Pakistan military strikes in eastern Afghanistan in 1 day;Pakistani soldiers have martyred dozens of innocent people in Kunar.",local media Tolo News,4,Kunar province,Nangarhar and Kunar provinces,Kunar province,,34.950000,71.133333,POINT (71.133333 34.95),179783,Afghanistan,700,Asia,2,2,2026-03-01 00:00:00.000,2026-03-02 00:00:00.000,0,0,7,0,7,12,7,700,770
621150,AFG-2026-1-12291-25,2026,true,Clear,1,"",11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,5,"""BBC Monitoring Round-up,2026-03-03,BBCM Afghanistan Watchlist 3 Mar 26
CR 	Source: BBC Monitoring"";""Afghan Analyst on Twitter (X),2026-03-03,Pakistan-Taliban Clashes: Pakistan Prefers Airstrikes Over Ground Engagement as Civilian Casualties Mount"";""Ariana News,2026-03-02,Three children killed in Pakistani airstrike on Kunar province"";""Kabul Now,2026-03-02,Three Children Killed in Pakistani Strike on Returnee Camp in Kunar, Taliban Say"";""Hasht e Subh Daily,2026-03-04,Norwegian Refugee Council: Three killed in Pakistani missile attack on Kunar earthquake relief camp""",BBC Monitoring Round-up;Afghan Analyst on Twitter (X);Ariana News;Kabul Now;Hasht e Subh Daily,2026-03-03;2026-03-03;2026-03-02;2026-03-02;2026-03-04,"BBCM Afghanistan Watchlist 3 Mar 26
CR 	Source: BBC Monitoring;Pakistan-Taliban Clashes: Pakistan Prefers Airstrikes Over Ground Engagement as Civilian Casualties Mount;Three children killed in Pakistani airstrike on Kunar province;Three Children Killed in Pakistani Strike on Returnee Camp in Kunar, Taliban Say;Norwegian Refugee Council: Three killed in Pakistani missile attack on Kunar earthquake relief camp","Taliban's deputy spokesman, Hamdullah Fitrat; Farid Dehqan, spokesperson for the Khas Kunar police command; Norwegian Refugee Council",3,Khas Kunar district,Hijrat Abad camp / Hajratabad in Kunar province's Khas Kunar district,Kunar province,Khas Kunar district,34.612865,70.938538,POINT (70.938538 34.612865),179782,Afghanistan,700,Asia,1,2,2026-03-01 00:00:00.000,2026-03-02 00:00:00.000,0,0,3,0,3,3,3,700,770
621332,AFG-2026-1-12291-65,2026,true,Clear,1,"",11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,1,"""Tolo News,2026-03-02,Pakistani Military Posts Fall in Kandahar and Khost Operations""",Tolo News,2026-03-02,Pakistani Military Posts Fall in Kandahar and Khost Operations,Afghan Ministry of Defense of the Islamic Emirate,3,Spin Boldak district,Spin Boldak district of Kandahar province,Kandahar province,Spin Boldak district,30.987916,66.169753,POINT (66.169753 30.987916),174013,Afghanistan,700,Asia,1,2,2026-03-01 00:00:00.000,2026-03-02 00:00:00.000,0,3,0,0,3,3,3,700,770
622938,AFG-2026-1-12291-24.2,2026,true,Clear,1,"",11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,2,"""Xinhua News Agency,2026-03-02,17 killed, 15 injured in Pakistan military strikes in eastern Afghanistan in 1 day"";""Bakhtar News,2026-03-02,Pakistani soldiers have martyred dozens of innocent people in Kunar.""",Xinhua News Agency;Bakhtar News,2026-03-02;2026-03-02,"17 killed, 15 injured in Pakistan military strikes in eastern Afghanistan in 1 day;Pakistani soldiers have martyred dozens of innocent people in Kunar.",local media Tolo News,4,Nangarhar province,Nangarhar and Kunar provinces,Nangarhar province,,34.333330,70.416670,POINT (70.41667 34.33333),179061,Afghanistan,700,Asia,2,2,2026-03-01 00:00:00.000,2026-03-02 00:00:00.000,0,0,7,0,7,12,7,700,770
621320,AFG-2026-1-12291-57.2,2026,true,Clear,1,"",11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,1,"""Ariana News,2026-03-03,Four civilians killed, 16 injured in fresh Pakistani attacks in Khost""",Ariana News,2026-03-03,"Four civilians killed, 16 injured in fresh Pakistani attacks in Khost",Sources confirm to Ariana News,3,Tere Zayi district (Alisher),districts of Zazi Maidan and Alisher in Khost province,Khost province,Tere Zayi district (Alisher),33.383675,70.190835,POINT (70.190835 33.383675),177621,Afghanistan,700,Asia,1,2,2026-03-02 00:00:00.000,2026-03-03 00:00:00.000,0,0,2,0,2,2,2,700,770
621321,AFG-2026-1-12291-58,2026,true,Clear,1,"",11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,1,"""Ariana News,2026-03-03,IEA reports 25 clashes with Pakistani forces in 24 hours; Hundreds killed or wounded""",Ariana News,2026-03-03,IEA reports 25 clashes with Pakistani forces in 24 hours; Hundreds killed or wounded,"Enayatullah Khowarzmi, spokesperson for the Ministry of Defense",5,Afghanistan-Pakistan border,"",,,31.689623,68.051427,POINT (68.051427 31.689623),175457,Afghanistan,700,Asia,2,2,2026-03-02 00:00:00.000,2026-03-03 00:00:00.000,0,4,0,0,4,4,4,700,770
621159,AFG-2026-1-12291-29,2026,true,Clear,1,"",11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,1,"""Pajhwok Afghan News,2026-03-03,150 Pakistani soldiers killed in Afghan counterattacks: Khwarazmi""",Pajhwok Afghan News,2026-03-03,150 Pakistani soldiers killed in Afghan counterattacks: Khwarazmi,Afghanistan’s Ministry of Defence (MoD),5,Afghanistan-Pakistan border,Along the Durand Line,,,31.689623,68.051427,POINT (68.051427 31.689623),175457,Afghanistan,700,Asia,1,2,2026-03-02 00:00:00.000,2026-03-03 00:00:00.000,0,4,0,0,4,4,4,700,770
